Category,Issue,Keywords,Description,Do,Don't,Severity,Platform
Microstructure,Irregular Tick Handling,tick-data irregular continuous-time event-driven,"Using fixed-time bars on irregular tick data loses information and introduces aliasing","Use continuous-time filters (Kalman, Leaky Integrator) that adapt to Δt between events","Force fixed time/volume bars, use standard EMA without time-weighting",CRITICAL,All HFT/Microstructure
Microstructure,Ignoring Time Between Ticks,delta-t inter-arrival-time gaps event-spacing,"Time gaps contain information (intensity, regime changes)","Weight by actual time elapsed: α = 1 - exp(-Δt/τ)","Use bar-index based counters, ignore time gaps in decay functions",HIGH,Tick-level systems
Strategy Design,Overfitting on In-Sample Data,overfitting curve-fitting parameter-optimization backtesting,"Excessive parameter tuning on historical data leads to strategy failure in live trading","Use walk-forward analysis, out-of-sample testing, limit parameters (<5), cross-validation","Optimize 10+ parameters, test only in-sample, maximize historical Sharpe",CRITICAL,All strategies
Strategy Design,Look-Ahead Bias,look-ahead-bias future-information data-leakage backtesting,"Using future data unknowingly in backtest (e.g., end-of-day indicators calculated with closing auction data)","Ensure all signals use only data available at signal time, timestamp everything","Use 'close' prices before they're known, reindex data without checking timestamps",CRITICAL,Backtesting/Research
Strategy Design,Survivorship Bias,survivorship-bias delisted-stocks dead-assets universe-bias historical,"Testing only on assets that survived (e.g., current S&P 500 components tested back to 1990)","Use point-in-time universe data, include delisted/dead assets in backtest","Test on current asset list backfilled 10 years, ignore delistings",HIGH,Equity/Crypto backtesting
Execution,Ignoring Slippage & Fees,slippage transaction-costs fees market-impact realistic-costs,"Backtests assume perfect fills at mid-price; real execution incurs slippage and fees","Model realistic slippage (0.02-0.1%), include exchange fees (0.01-0.1% per side)","Assume fills at bid/ask mid without slippage, ignore fees in backtest",CRITICAL,All live trading
Execution,Not Accounting for Liquidity,liquidity market-impact adv volume position-sizing order-size,"Large orders move the market; testing with unrealistic position sizes vs. available liquidity","Limit position size to % of ADV (1-5%), model market impact, scale in/out","Size positions at 50% of daily volume, assume instant fills for large size",CRITICAL,Institutional/Large positions
Risk Management,No Stop-Loss,stop-loss risk-control unlimited-loss drawdown catastrophic,"Running strategies without stop-loss can lead to ruin on single bad trade","Implement hard stops (ATR-based or fixed %), max drawdown limits, circuit breakers","Hope position recovers, hold through massive unrealized loss",CRITICAL,All active trading
Risk Management,Over-Leverage,leverage margin liquidation blow-up excessive-risk,"Using excessive leverage (e.g., 50x-100x) magnifies losses and leads to liquidation","Use conservative leverage (2x-5x max for most), maintain margin buffer (50%+ above maintenance)","Use maximum exchange leverage (100x+), ignore margin requirements",CRITICAL,Leveraged trading
Risk Management,Ignoring Correlation Risk,correlation diversification concentration portfolio-risk basket,"Holding positions that are highly correlated (e.g., all crypto, all tech stocks) without realizing concentration risk","Monitor correlation matrix, diversify across uncorrelated assets (<0.5 correlation)","Assume assets are independent, concentrate 100% in single sector/asset class",HIGH,Multi-asset portfolios
Data,Using Unrealistic Historical Data,historical-data cleaned adjusted survivorship point-in-time,"Using 'clean' data that removes outliers, errors, or has been adjusted post-hoc","Use raw or minimally cleaned data, validate with multiple sources, include errors/gaps","Remove all 'bad' data points, backfill missing data with interpolation",MEDIUM,Backtesting
Data,Not Adjusting for Splits/Dividends,splits dividends adjustments corporate-actions price-continuity,"Stocks split/pay dividends; unadjusted prices create false signals","Use adjusted prices for backtesting, track corporate actions, handle dividends correctly","Use raw unadjusted prices, ignore dividend ex-dates and splits",HIGH,Equity backtesting
Model Assumptions,Assuming Stationarity,stationarity regime-change non-stationary drift market-evolution,"Markets evolve; strategies optimized for 2015 may fail in 2025","Test across multiple regimes, use adaptive parameters, monitor live performance for drift","Optimize once on 2015-2020 data, deploy unchanged in 2025",HIGH,Long-term strategies
Model Assumptions,Gaussian Assumptions in Fat-Tail Markets,fat-tails black-swan gaussian normal-distribution extreme-events,"Crypto/volatility has fat tails; Gaussian models (VaR, mean-variance) underestimate risk","Use robust risk measures (CVaR, stress tests), expect >3σ moves, tail hedging","Rely solely on VaR at 95%, assume returns are normal, ignore outliers",HIGH,Crypto/High-vol assets
Signal Processing,Using Forward-Looking Indicators,forward-looking non-causal future-leak centered-ma offline,"Using centered moving averages or indicators that 'look ahead' (e.g., center-weighted MA)","Use causal indicators only (EMA, trailing MA), ensure real-time implementability","Use centered SMA (looks ahead N/2 bars), apply offline indicators in backtest",CRITICAL,Real-time trading
Signal Processing,Excessive Smoothing (Lag),lag smoothing slow-signal missed-entries delay,"Over-smoothing signals (e.g., 200-period MA) introduces lag and misses fast moves","Balance smoothness vs. lag, test multiple periods, use adaptive filters if needed","Use 500-bar MA for day trading, smooth until signal is 'clean'",MEDIUM,Short-term strategies
Performance Evaluation,Cherry-Picking Metrics,cherry-picking biased-reporting selective-disclosure metric-shopping,"Reporting only favorable metrics (e.g., 'max 1-day return') while hiding drawdowns","Report full metrics: Sharpe, max DD, win rate, worst month, total return, Calmar","Show only best month, highest Sharpe in ideal period, ignore drawdowns",HIGH,Strategy evaluation
Performance Evaluation,Ignoring Drawdown Duration,drawdown recovery time-to-recover underwater-period pain,"Only looking at max drawdown % ignores how long it takes to recover","Monitor drawdown duration, time underwater, psychological pain of long flat periods","Accept 40% drawdown if 'eventually recovered', ignore 2-year flat equity",MEDIUM,Live trading psychology
Coding & Implementation,Incorrect Order of Operations,order-of-operations logic-error execution-order signal-generation race-condition,"Calculating signals after execution, or using wrong timestamp sequence","Process: 1) receive data, 2) calculate signal, 3) execute, 4) update state. Timestamp everything.","Execute first, calculate signal later; mix real-time and delayed data",CRITICAL,Live trading systems
Coding & Implementation,Off-by-One Errors,off-by-one indexing array-bounds loop-error fencepost,"Common in lookback calculations (e.g., MA over last 10 bars uses [i-9:i] not [i-10:i])","Carefully test boundary conditions, use inclusive/exclusive ranges correctly, unit test","Assume [0:10] includes index 10, loop from i=0 when i=1 is first valid",MEDIUM,All code
Live Trading,Not Logging Everything,logging audit-trail debugging monitoring production,"Running live without comprehensive logs makes debugging impossible post-failure","Log every signal, order, fill, state change with microsecond timestamps","Println to console only, no persistent logs, no order audit trail",CRITICAL,Production systems
Live Trading,No Kill Switch / Circuit Breaker,kill-switch circuit-breaker runaway-algo emergency-stop safety,"Algo runs amok (bug, flash crash, API error) with no way to stop it","Implement manual kill switch, max daily loss limit, position limit breakers, algo health checks","Deploy with no halt mechanism, assume 'it will never happen'",CRITICAL,Automated trading
Live Trading,Ignoring Latency Variance,latency jitter network-delay timing edge race-condition,"Assuming consistent latency; network jitter can destroy HFT edge","Monitor latency distribution (p50, p99), co-locate if needed, design for variance","Assume 10ms latency is always 10ms, ignore occasional 500ms spikes",HIGH,HFT/Latency-sensitive
Market Microstructure,Ignoring Bid-Ask Spread,bid-ask spread transaction-cost market-making effective-cost,"Strategies that cross the spread pay the cost; ignoring it overestimates profitability","Calculate effective spread, model crossing cost, prefer passive orders when possible","Assume trades at mid-price, ignore spread in backtest",HIGH,Market making/HFT
Market Microstructure,Adverse Selection (Toxic Flow),adverse-selection information-asymmetry informed-traders toxic-flow market-making,"Market makers face informed traders; filling against them loses money","Monitor fill rates vs. subsequent price moves, avoid toxic flow, implement anti-gaming logic","Assume all fills are random, ignore post-fill price drift",HIGH,Market making
Machine Learning,Training on Future Data,data-leakage feature-leakage target-leakage ml-overfitting preprocessing,"Feature engineering uses future information (e.g., normalizing with global mean including test set)","Split data first, fit preprocessing only on train set, apply to test; strict temporal separation","Normalize entire dataset first, then split; use test set statistics in training",CRITICAL,ML models
Machine Learning,Not Retraining Models,model-drift concept-drift stale-model regime-change ml-decay,"ML models degrade as market evolves; 2020 model fails in 2024","Schedule regular retraining (weekly, monthly), monitor live performance, detect drift","Train once in 2020, deploy forever, ignore performance decay",HIGH,ML production
Machine Learning,Overfitting via Feature Explosion,feature-engineering curse-of-dimensionality overfitting feature-selection,"Using 1000 features on 500 samples guarantees overfitting","Use feature selection (L1 regularization, PCA, domain knowledge), keep feature count << sample count","Generate every possible technical indicator (500 features), train on 1 year of daily data",HIGH,ML feature engineering
Psychology & Discipline,Revenge Trading,revenge-trading tilt emotional-trading discipline psychology loss-chasing,"After loss, abandoning risk rules to 'make it back' by over-leveraging or overtrading","Stick to risk limits after loss, take break if tilted, automate execution to remove emotion","Double position size after loss, trade without stop, take high-risk setups",HIGH,Discretionary trading
Psychology & Discipline,Ignoring Systems in Drawdown,drawdown abandonment system-hopping strategy-switching patience discipline,"Stopping live strategy during drawdown period, missing eventual recovery","Trust backtested edge, allow for normal drawdown, only stop if system is fundamentally broken","Stop trading after 15% DD even though backtest showed 25% max DD is normal",MEDIUM,Systematic trading
