STT,Risk Control,Category,Keywords,Description,Parameters,Best For,Implementation,Advantages,Disadvantages,Critical For
1,Fixed Fractional Position Sizing,Position Sizing,kelly-criterion fixed-fraction account-percentage risk-per-trade,"Risk fixed % of capital per trade (e.g., 1-2%)","Risk % (1-2%), Account size, Stop distance","Retail traders, systematic strategies, risk control","Position size = (Account · Risk%) / Stop distance in $","Simple, prevents ruin, scales with capital, consistent risk","Ignores win rate/payoff, can be too conservative or aggressive","All traders (universal rule)"
2,Kelly Criterion,Position Sizing,kelly optimal-growth edge win-rate payoff bankroll,"Optimal fraction: f* = (p·b - q)/b, where p=win rate, q=1-p, b=payoff ratio","Win rate p, Payoff ratio b (avg win/avg loss)","Professional traders, known edge, long-term growth","Calculate f*, use fraction (often 1/4 or 1/2 Kelly for safety)","Maximizes long-term growth, theoretically optimal","Requires accurate p and b, full Kelly = high volatility, bankruptcy risk if wrong","Traders with edge data, long-term compounding"
3,ATR-Based Position Sizing,Volatility Sizing,atr volatility-adjusted position dynamic risk-scaling,"Size inversely proportional to ATR: Size ∝ 1/ATR","ATR period (14), ATR multiplier (1-3x), Capital allocation","Volatility-adaptive strategies, multi-instrument portfolios","Fixed risk $ = (Capital · Risk%), Position = Risk$ / (ATR · Multiplier)","Adapts to volatility, same risk across instruments, prevents over-leverage in high vol","ATR lags, may undersize in breakouts","Multi-asset portfolios, volatility regime changes"
4,Stop-Loss Orders,Exit Rule,stop-loss risk-control exit trailing-stop hard-stop,"Exit position if price hits predefined level","Stop distance (% or ATR-based), Stop type (hard, trailing, time-based)","All active traders, risk control, prevent large losses","Place stop at entry - ATR·k or fixed %, move to breakeven after profit threshold","Limits losses, forces discipline, automated execution","Stops can be hunted, whipsaws, slippage in fast markets","All strategies (mandatory for risk control)"
5,Take-Profit Targets,Exit Rule,take-profit profit-target reward-risk exit scaling-out,"Exit full or partial position at predefined profit level","Target distance (R:R ratio, ATR multiple, fixed %), Scaling (full or partial)","Trend-following, breakout strategies, capturing profits","Set target at entry + ATR·k or fixed R:R (e.g., 2:1 or 3:1)","Locks in profits, prevents reversals, defines R:R upfront","Misses larger moves, premature exits in trends","Scalping, range trading, risk-defined strategies"
6,Trailing Stops,Dynamic Exit,trailing-stop lock-profit trend-following adaptive exit,"Stop moves with price to lock in profits, never moves against position","Trail distance (ATR, %, fixed $), Activation threshold (after X profit)","Trend-following, momentum strategies, letting winners run","Activate after profit threshold, move stop up by trail distance as price advances","Captures trends, protects profits, automatic adjustment","Stopped out in pullbacks, sensitive to trail distance","Trend strategies, breakout trades, momentum"
7,Time-Based Stops,Exit Rule,time-stop session-end intraday holding-period decay,"Exit position after fixed time period regardless of P&L","Max hold time (hours, days, sessions), Intraday (session end)","Day trading, mean-reversion, decay strategies (options theta)","Exit at session close or after N bars/hours if not stopped out","Limits overnight risk, prevents stuck positions, good for mean-reversion","Arbitrary timing, may exit before move completes","Intraday traders, option sellers, mean-reversion"
8,Maximum Drawdown Limit,Account Protection,drawdown risk-management account-protection breaker trading-suspension,"Halt trading if account drawdown exceeds threshold from peak","Max DD % (10-20%), Calculation (peak-to-trough, rolling)","Professional traders, institutional risk control, preventing ruin","Stop trading if (CurrentEquity - PeakEquity)/PeakEquity < -MaxDD%","Protects capital, forces review, prevents revenge trading","Arbitrary level, misses recovery if stopped too early","All traders (career protection)"
9,Daily Loss Limit,Intraday Control,daily-loss-limit intraday risk-control breaker stop-trading,"Stop trading for the day if daily loss exceeds limit","Daily loss $ or %, Reset time (daily, session)","Day traders, prop firms, risk discipline","Track daily P&L, stop all trading if loss > limit, resume next day","Prevents tilt, protects capital in bad days, enforces discipline","May miss recovery, psychological barrier","Day traders, high-frequency, prop traders"
10,Position Limits (Max Exposure),Concentration Risk,position-limit max-exposure concentration diversification portfolio-risk,"Limit maximum % of capital in single position or asset class","Max % per position (5-20%), Max % per sector/asset class (30-50%)","Portfolio managers, multi-strategy, institutional","Check total exposure before entry, reject if exceeds limit","Prevents concentration risk, diversification, limits single-asset blow-up","May miss best opportunities, reduces conviction sizing","All portfolios (critical for diversification)"
11,Correlation-Adjusted Sizing,Portfolio Risk,correlation portfolio-risk diversification covariance risk-parity,"Adjust position sizes based on correlation matrix to control portfolio variance","Correlation lookback (30-90d), Target portfolio vol (10-15% annualized)","Multi-asset portfolios, statistical arbitrage, hedge funds","Calculate portfolio variance, reduce size of correlated positions, increase uncorrelated","True diversification, controls portfolio vol, risk-parity approach","Requires correlation data, correlations change, complex calculation","Multi-strategy portfolios, pairs trading, institutional"
12,Value-at-Risk (VaR),Portfolio Risk,var value-at-risk quantile portfolio-risk tail-risk,"Maximum expected loss at confidence level (e.g., 95% or 99%) over time horizon","Confidence level (95%, 99%), Time horizon (1d, 10d), Calculation (historical, parametric, Monte Carlo)","Institutional risk management, regulatory compliance, hedge funds","Calculate VaR daily, limit positions if VaR > threshold","Industry standard, regulatory requirement, portfolio-wide view","Underestimates tail risk (fat tails), backward-looking, model risk","Banks, hedge funds, institutional portfolios"
13,Conditional VaR (CVaR/ES),Tail Risk,cvar expected-shortfall tail-risk extreme-loss coherent-risk,"Average loss beyond VaR threshold (tail expectation)","VaR calculation + tail average, Confidence level (95%, 99%)","Risk-averse institutions, tail-risk hedging, stress testing","Calculate CVaR as mean of losses worse than VaR, limit tail exposure","Coherent risk measure, captures tail risk, better than VaR","More complex, still model-dependent, requires tail data","Institutional portfolios, crisis risk management"
14,Leverage Limits,Margin Control,leverage margin max-leverage notional-exposure loan-to-value,"Maximum allowed leverage ratio (notional exposure / capital)","Max leverage (2x, 5x, 10x, 100x), Margin requirements, Asset class limits","Margin traders, futures, crypto, leveraged instruments","Total notional = Σ(position sizes · prices), Limit: Notional/Equity ≤ MaxLeverage","Controls margin risk, prevents liquidation, regulatory compliance","Arbitrary level, may limit profitable leverage in stable markets","Leveraged trading (futures, forex, crypto futures)"
15,Greeks Limits (Options),Options Risk,greeks delta gamma vega theta options-risk portfolio-hedging,"Limit total portfolio Greeks (Delta, Gamma, Vega, Theta)","Max Delta (±50), Max Gamma (±10), Max Vega (±100), Max Theta (positive/negative)","Options traders, market makers, volatility desks","Sum portfolio Greeks, hedge or close positions if limits breached","Controls directional, vol, and time risk, professional options management","Requires continuous calculation, Greeks change, hedging costs","Options portfolios, derivatives desks, market makers"
16,Scenario Analysis & Stress Testing,Portfolio Risk,stress-test scenario-analysis what-if shock extreme-events,"Simulate P&L under extreme market scenarios (e.g., -10% market, +5% vol)","Scenarios (2008 crash, COVID, +/- X%), Frequency (weekly, monthly)","Institutional portfolios, risk committees, regulatory","Run historical or hypothetical scenarios, measure portfolio impact, adjust if vulnerable","Forward-looking, captures non-linear risks, reveals vulnerabilities","Scenario selection subjective, cannot predict all events","Hedge funds, institutional portfolios, banks"
17,Hedging (Delta-Neutral, Beta-Neutral),Directional Risk,hedging delta-neutral beta-neutral market-neutral pairs short-hedge,"Offset directional risk via opposite positions (short hedge, pairs, options)","Target Delta (0), Beta (0), Hedge ratio (calculated from regression or Greeks)","Market-neutral strategies, long-short equity, options strategies","Calculate exposure, take opposite position to neutralize (e.g., short index futures, buy puts)","Removes market risk, isolates alpha, reduces volatility","Hedging costs (borrow, options premium), imperfect correlation, rebalancing","Market-neutral funds, pairs trading, options portfolios"
18,Rebalance Frequency Control,Portfolio Maintenance,rebalance turnover transaction-costs drift portfolio-maintenance,"Frequency of portfolio rebalancing to target weights or risk levels","Rebalance frequency (daily, weekly, monthly), Threshold-based (±5% drift)","Long-term portfolios, index funds, asset allocation","Check target weights vs. actual, rebalance if drift > threshold or on schedule","Maintains target risk/return, prevents drift, disciplined approach","Transaction costs, tax implications, may miss momentum","Passive portfolios, asset allocation, pension funds"
19,Circuit Breakers (Algo Kill Switch),Algo Safety,circuit-breaker kill-switch algo-safety halt runaway emergency-stop,"Automatic halt of algorithm if loss, volume, or behavior exceeds threshold","Max loss ($ or %), Max orders/sec, Latency threshold, Manual override","Algorithmic trading, HFT, automated strategies, prop firms","Monitor algo behavior, trigger halt if anomaly detected, require manual restart","Prevents runaway algos, protects from bugs, regulatory requirement","False positives, may stop profitable algo, requires monitoring","All automated trading (critical safety)"
20,Margin Call Avoidance (Buffer),Margin Safety,margin-call buffer safety-margin liquidation-avoidance maintenance-margin,"Maintain equity above margin requirement + buffer to avoid forced liquidation","Buffer % (20-50% above maintenance margin), Alert thresholds","Leveraged traders, futures, forex, crypto margin","Current Equity ≥ Maintenance Margin · (1 + Buffer%), reduce positions if violated","Prevents liquidation, time to respond, protects from gap risk","Reduces effective leverage, capital inefficiency","All margin trading (critical for survival)"
21,Diversification (Asset, Strategy, Time),Risk Spreading,diversification uncorrelated asset-allocation multi-strategy time-diversification,"Spread risk across uncorrelated assets, strategies, or entry times","Number of assets (10+), Correlation threshold (<0.5), Strategy types (3+)","All portfolios, institutional, long-term investors","Allocate capital across low-correlation positions/strategies, monitor correlations","Reduces idiosyncratic risk, smoother equity curve, lower drawdowns","May dilute best ideas, correlation changes, over-diversification","All portfolios (foundational risk principle)"
22,Liquidity Risk Management,Market Risk,liquidity slippage volume market-impact bid-ask average-daily-volume,"Limit position size relative to market liquidity (ADV, bid-ask spread)","Max position as % of ADV (1-5%), Min ADV threshold ($1M+), Max spread (0.1%)","Institutional traders, large positions, illiquid markets","Position ≤ X% of 20-day ADV, avoid if spread > threshold, scale in/out","Prevents slippage, ensures exit ability, reduces market impact","May limit position size, liquidity can evaporate in crisis","Large accounts, illiquid assets, institutional"
23,Black Swan Hedging (Tail Hedging),Extreme Risk,black-swan tail-hedge crisis-protection convexity put-options catastrophe,"Buy cheap OTM options or other convex instruments to protect against extreme events","Premium budget (0.5-2% of capital annually), Strike selection (10-30% OTM), Expiry (quarterly)","Long-term portfolios, wealth preservation, institutional","Allocate small % to OTM puts, VIX calls, or tail-risk funds, hold continuously","Protects against catastrophic loss, convex payoff in crisis, peace of mind","Negative carry (premium bleed), may never pay off, timing difficult","Large portfolios, risk-averse investors, pensions"
24,Scaling In/Out (Pyramiding),Position Building,scaling pyramiding averaging cost-averaging incremental position-building,"Build or exit positions incrementally rather than all-at-once","Number of tranches (2-5), Spacing (price levels or time), Size progression (equal or weighted)","Trend-following, breakout strategies, large positions, reducing slippage","Enter 1/3 on signal, 1/3 on confirmation, 1/3 on continuation; reverse for exit","Reduces timing risk, improves avg entry, limits market impact","Complexity, may miss move, partial fills in fast markets","Large positions, institutional execution, trend-following"
