STT,Strategy Name,Category,Keywords,Data Requirements,Time Horizon,Best For,Complexity,Key Parameters,Performance Characteristics,Market Conditions,Latency Sensitivity,Capital Requirements,Avoid For
1,Order Flow Imbalance (OFI),Microstructure,order flow tick-level aggressor side signed volume liquidity,"aggTrades (tick-level), price, quantity, is_buyer_maker, timestamp",Intraday (1ms-60s),"High-frequency futures, liquid crypto pairs, institutional execution",Medium,"Decay tau (2-30s), Prediction horizon (5-60s), Threshold (±2.0)","IC: 0.03-0.08, Sharpe: 1.5-3.5 annualized, Mean reversion at tails","High volatility, liquid markets, during active hours",Very High (≤10ms edge window),"$10K-$100K+ (depends on fees, slippage)",Illiquid markets low tick volume thin books
2,Dual-Scale Hawkes Process,Point Process,hawkes self-exciting intensity kernel arrival rate clustering bursty,"aggTrades, inter-arrival times, event timestamps",Ultra-short (100ms-10s),"Detecting sweeps, momentum ignition, liquidity crises, algorithmic detection",High,"α (excitation), β (decay), baseline λ₀, dual timescales (fast/slow)","Captures clustering, predicts continuation after sweeps, non-linear tail behavior","Momentum regimes, large sweeps, algo activity bursts",Extreme (≤1ms for edge),">$50K (requires co-location for profitability)",Stable quiet markets low event density mean-reverting regimes
3,Continuous-Time Kalman Filter,State-Space,kalman latent state bayesian filtering gaussian noise time-varying adaptive,"Directional signal (signed trades), irregular timestamps",Short-term (1s-5min),"Smoothing noisy signals, regime detection, adaptive execution, order placement",Medium,"Process noise Q, Measurement noise R (0.25), Adaptive α","Highest IC (0.05-0.12), smoothest signal, optimal under Gaussian assumptions","Stable trending markets, normal volatility regimes",Low (tolerates 50-200ms lag),$5K-$50K (lower latency = higher capital),High-noise chaotic markets regime shifts without adaptation
4,Leaky Integrator (TCI-IE),Signal Processing,exponential decay pressure gauge momentum density aggression accumulator,"Signed trades or signed volume, timestamps",Very short (500ms-30s),"Sweep detection, pressure measurement, tail monotonicity, momentum confirmation",Low,"Decay constant τ (618ms optimal), Input scaling","Extreme tail predictability, monotonic at |S| > 3σ, detects one-sided flow","All markets (universal), best during sweeps/liquidations",Medium (≤50ms acceptable),$1K-$20K (lower barriers),Absent for balanced two-way markets
5,VWAP Execution,Execution Algo,vwap volume-weighted participation tracking minimize impact benchmark,"Historical volume profile, real-time volume, OHLCV bars",Intraday (30min-4h),"Large order execution, institutional trading, minimizing market impact, benchmarking",Low,"Target participation rate (5-20%), Time slices, Urgency parameter","Minimize slippage vs. VWAP, tracking error ≤10bps typical","Normal volume patterns, liquid instruments during regular hours",Low (seconds acceptable),$100K+ (institutional scale),Illiquid low-volume periods breaking news events
6,TWAP Execution,Execution Algo,twap time-weighted uniform slicing predictable simple benchmark,"Price data, timestamps (no volume needed)",Intraday (15min-8h),"Simple execution, regulatory compliance, predictable flow, avoiding detection",Very Low,"Time slices (uniform), Total duration, Slice size","Even execution pace, higher impact than VWAP if volume spikes, simple to audit","Stable markets, regular hours, when volume profile unknown",Very Low (minutes acceptable),$50K+ (any institutional),High volatility breaking news volume surges
7,Statistical Arbitrage (Pairs),Mean Reversion,stat-arb cointegration spread mean-reversion correlation z-score,"Price series of 2+ instruments, sufficient history (1y+), correlation matrix",Medium-term (hours-days),"Correlated assets, market-neutral strategies, hedged exposure, relative value",Medium,"Lookback window (30-90d), Z-score threshold (±2), Half-life","Sharpe 1.0-2.5, market-neutral, relies on reversion speed","Stable correlations, normal volatility, tight spreads",Low (minutes to hours),$20K+ per pair (2x instruments),Correlation breakdowns regime shifts one-sided trends
8,Market Making (Limit Order),Liquidity Provision,market-making bid-ask spread inventory risk adverse-selection quote,"L2 order book depth, trade flow, inventory limits, tick size","Continuous (milliseconds-seconds, rolled over)","Providing liquidity, earning spread, high-frequency rebates, tight markets",High,"Spread width (tick multiples), Inventory limits (±max position), Skew adjustment","Profit from spread capture, risk from adverse selection, needs high fill rate","Stable markets with consistent two-way flow, good depth",Extreme (≤1ms for queue priority),$100K+ (inventory + margin),Directional trends low liquidity toxic flow
9,Momentum (Trend Following),Directional,momentum trend breakout moving average crossover donchian channel,"OHLC bars, volume, ATR for volatility","Medium-long (days-weeks-months)","Trending markets, commodities, crypto, macro moves, CTA strategies",Low,"MA periods (50/200), ATR multiplier (2-3x), Breakout lookback (20-55d)","Sharpe 0.5-1.5, large drawdowns, skewed PnL (many small losses, few big wins)","Strong trends, breakouts, low-correlation regime",Very Low (hours to days),$5K-$50K+ (scales well),Range-bound choppy markets mean-reverting assets
10,Mean Reversion (RSI/Bollinger),Oscillator,mean-reversion oversold overbought rsi bollinger-bands z-score contrarian,"OHLC bars, price history, volatility bands",Short-medium (minutes-hours-days),"Range-bound markets, high-volatility instruments, short-term reversals, options strategies",Low,"RSI period (14), Overbought/sold threshold (70/30), Bollinger width (2σ)","Works in ranges, fails in trends, Sharpe 0.8-2.0 in ideal conditions","Sideways markets, high volatility, after overextensions",Low (minutes acceptable),$2K-$20K (flexible),Strong trends breakouts momentum regimes
11,Volatility Arbitrage,Options/Derivatives,vol-arb realized-vol implied-vol options greeks vega gamma delta-hedging,"Options chain (IV), realized volatility, Greeks, underlying price",Medium-term (days-weeks),"Mispriced volatility, options spreads, volatility trading, dispersion strategies",High,"IV percentile, Vol lookback (20-60d), Delta-hedging frequency, Vega exposure","Profit from IV-RV spread, needs constant hedging, capital-intensive","High IV vs. low RV, stable correlations, liquid options",Low (hours for rebalancing),$50K+ (margin + options premium),Illiquid options vol regime shifts violent moves
12,Grid Trading,Algorithmic,grid ranging levels buy-low-sell-high automation rebalancing,"Price levels, volatility measure, range bounds",Continuous (indefinite until trend),"Ranging crypto markets, FX pairs, automated bots, passive income strategies",Low,"Grid spacing (% or ATR), Number of levels (5-20), Range bounds (support/resistance)","Profitable in ranges, catastrophic in trends, drawdown risk if one-sided","Sideways consolidation, known support/resistance, stable volatility",Low (minutes),$1K-$10K (fractional for crypto),Strong trends breakouts one-way markets
13,Iceberg Order Detection,Execution/Microstructure,iceberg hidden-liquidity order-detection volume-analysis tape-reading,"L2 snapshots, trade flow (large repeated fills), order book imbalance","Real-time (seconds-minutes, intraday)","Detecting large hidden orders, front-running institutional flow, liquidity analysis",Medium,"Threshold size (e.g., >10x avg trade), Repeat count (3+), Time window (10s-2min)","Predictive of continuation, used for order placement strategy, not standalone alpha","Mid-day active hours, liquid instruments with large participants",High (≤1s for positioning),$10K+ (needs scale for impact),Low liquidity retail-dominated markets
14,News Sentiment (NLP),Alternative Data,news sentiment nlp event-driven fundamental text-analysis ml,"News feed (Bloomberg, Reuters), NLP model, sentiment scores, event timestamps",Event-driven (minutes-hours-days),"Macro trading, equity selection, event response, risk management during announcements",High,"Sentiment threshold, Source credibility weighting, Decay function, Asset mapping","Noisy, requires filtering, effective for major events, alpha decays fast","Earnings, Fed announcements, geopolitical events, company-specific news",Medium (minutes for news propagation),$50K+ (data feeds + infrastructure),Slow-moving assets markets ignoring news
15,Cross-Sectional Momentum,Factor/Quant,cross-sectional ranking relative-strength factor-model long-short universe,"Universe of assets (50+), price history, ranking metric (returns, volume, fundamentals)",Medium-long (weekly-monthly rebalance),"Equity long-short, crypto baskets, sector rotation, systematic factor strategies",Medium,"Lookback period (1-12mo), Universe size (top/bottom deciles), Rebalance frequency","Sharpe 0.7-1.8, depends on universe, capacity constraints at scale","Dispersion in asset returns, trending regime across assets",Very Low (days for rebalancing),$100K+ (diversified portfolio),Low dispersion correlated moves bear markets
16,Volume Profile (POC/VPOC),Technical Analysis,volume-profile point-of-control value-area auction-theory support-resistance,"Volume-by-price data, session volume, tick data aggregated",Intraday (session-based),"Intraday support/resistance, auction market theory, identifying fair value, day trading",Low,"Value area % (70%), POC identification, Session boundaries (RTH/ETH)","Identifies high-probability zones, used with other signals, not standalone","Range days, well-defined sessions, liquid futures/stocks",Low (minutes),$2K-$20K (day trading scale),Trending breakout days low volume
17,Seasonality (Calendar Effects),Time-Series,seasonality calendar-effects monthly-patterns day-of-week time-of-day cyclical,"Historical price/volume by time period (hour/day/month), sufficient years of data",Long-term (months-years of data | position days-weeks),"Commodities (weather, harvest), equities (January effect), FX (month-end flows), crypto (weekends)",Low,"Period (hourly, daily, monthly), Lookback years (3-10y), Significance test","Small edge, needs size and consistency, combined with other signals","Stable macro regime, liquid instruments with long history",Very Low (days/weeks),$10K-$100K+ (depends on instrument),Structural breaks new instruments regime changes
18,Arbitrage (Triangular/Cross-Exchange),Arbitrage,arbitrage riskless mispricing cross-exchange triangular latency speed,"Multiple exchange feeds, order books (L2), execution APIs, latency measurement","Ultra-short (milliseconds-seconds, closed immediately)","Crypto cross-exchange, FX triangular, futures-spot basis, statistical arb",High,"Latency SLA (≤10ms), Fee structure, Slippage tolerance, Min profit threshold (5bps+)","Risk-free in theory, execution risk in practice, needs very low latency","Fragmented markets (crypto), illiquid pairs, during high volatility",Extreme (≤1ms critical),$50K+ (capital on multiple exchanges + fees),Regulated markets HFT-dominated venues
19,Machine Learning (Supervised),ML/AI,machine-learning supervised regression classification features labels overfitting,"Large labeled dataset (trades + labels), feature engineering, train/test split, compute","Varies (model-dependent, typically minutes-hours-days)","Pattern recognition, non-linear relationships, ensemble models, adaptive strategies",Very High,"Model type (XGBoost, LSTM, etc.), Features (100s), Hyperparameters, Retraining frequency","High variance, overfitting risk, needs constant retraining, can be very profitable or catastrophic","Stable feature distributions, sufficient data, non-linear patterns",Low-Medium (model inference fast | retraining slow),$20K+ (compute + data),Regime changes novel market conditions sparse data
20,Reinforcement Learning (RL),ML/AI,reinforcement-learning rl agent policy reward environment q-learning dqn ppo,"Simulation environment, state space, action space, reward function, compute (GPU)","Training: weeks-months | Deployment: real-time (ms-s)","Adaptive execution, market making, inventory management, complex multi-step strategies",Very High,"State/action space design, Reward shaping, Exploration rate, Training episodes (millions)","Can discover novel strategies, very compute-intensive, unstable in live markets","Simulated environments, research, proprietary strategies with edge",Medium (inference fast | training very slow),$100K+ (compute + talent + research),Unstable markets limited compute resources
21,Index Arbitrage (Futures-Basket),Arbitrage,index-arbitrage futures-spot basis etf-basket statistical mispricing,"Index futures, constituent basket prices, real-time fair value calculation","Intraday (seconds-minutes, close within session)","Equity index futures (ES, NQ), ETF arbitrage, basis trading, program trading",Medium,"Basis threshold (bps), Execution speed (basket vs. futures), Transaction costs","Tight Sharpe, small edge per trade, high frequency, needs automation","Normal market functioning, liquid index futures and constituents",High (≤100ms for edge),$500K+ (basket replication capital),Circuit breakers illiquid constituents
22,Delta-Neutral (Options),Options,delta-neutral gamma vega theta options-strategies straddle strangle hedging,"Options chain, Greeks calculation, real-time risk management",Continuous (rebalance hourly-daily),"Volatility trading, market-neutral income, hedging, professional options desks",High,"Target Delta (0 ±0.1), Gamma/Vega exposure limits, Rehedge threshold (±0.05 delta)","Profit from theta/vega, risk from gap moves, needs constant monitoring","Stable markets for theta, volatile for vega, liquid options",Low (hours for rehedging),$50K+ (margin + premium + hedging capital),Illiquid options violent moves lockups
23,Liquidity Provision (AMM/DeFi),DeFi/Crypto,amm liquidity-pool uniswap curve impermanent-loss yield-farming,"DEX pool data, swap volumes, token prices, gas costs, pool depth","Continuous (positions held days-weeks-months, rebalanced)","DeFi protocols, passive income, liquidity mining, yield generation",Medium,"Pool selection (volatility, volume), Range (for Uni v3), IL tolerance, Fee tier (0.05%-1%)","Earn fees + incentives, risk from impermanent loss, highly volatile pairs = high IL","Stable pairs (low IL), high-volume pairs (high fees), incentive programs",Low (hours/days for rebalancing),$5K-$100K+ (higher capital = better fee capture),Volatile pairs rug-pull risk smart contract bugs
24,Carry Trade (FX/Crypto),Interest Rate,carry-trade interest-rate-differential borrow-lend funding-rate arbitrage,"Funding rates (perpetual futures), interest rates (spot), borrow/lend rates","Medium-long (weeks-months, rolled daily)","FX majors (high vs. low rate), crypto funding arbitrage, cash-and-carry futures","Low-Medium","Rate differential threshold (>5% annualized), Rollover costs, FX risk hedging","Steady income, risk from FX moves or funding reversals, works in stable rates regime","Stable interest rate differentials, low FX volatility, positive carry","Very Low (daily rollover acceptable)","$20K-$200K+ (leverage amplifies, but adds risk)","Rate normalization, FX volatility spikes, negative carry"
